Net Status Report
Filename     : D:\PAY_IFB\hw\HW\PAY_IFB\2_PAY_IFP_V2\SpaceLiin_Satellite_4U_IFP_HW_2.0.0\01_DESIGN\BEE-1012 PAY-IF V1.1.0.PcbDoc
Date         : 29-Mar-26
Time         : 4:10:33 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    SOM_SDMMC0_OUT_D7, Signal Layers Only, 13.1529mm
    SOM_SDMMC0_OUT_DS, Signal Layers Only, 12.7426mm
    SOM_STATUS_LED_1, Signal Layers Only, 0mm
    SOM_STATUS_LED_2, Signal Layers Only, 0mm
    SOM_STATUS_LED_3, Signal Layers Only, 0mm
    SOM_USER_BUTTON_PA12, Signal Layers Only, 9.1701mm
    STX_12V, Signal Layers Only, 0mm
    SYS_PLL_INPUT, Signal Layers Only, 0mm
    SubSPW_LVDS_DIN_N, Signal Layers Only, 0mm
    SubSPW_LVDS_DIN_P, Signal Layers Only, 0mm
    SubSPW_LVDS_DOUT_N, Signal Layers Only, 0mm
    SubSPW_LVDS_DOUT_P, Signal Layers Only, 0mm
    SubSPW_LVDS_SIN_N, Signal Layers Only, 0mm
    SubSPW_LVDS_SIN_P, Signal Layers Only, 0mm
    SubSPW_LVDS_SOUT_N, Signal Layers Only, 0mm
    SubSPW_LVDS_SOUT_P, Signal Layers Only, 0mm
    TCK_SWCLK_PC26, Signal Layers Only, 6.3242mm
    TDI_PC28, Signal Layers Only, 9.381mm
    TDO_PC29, Signal Layers Only, 6.3547mm
    TMS_SWDIO_PC27, Signal Layers Only, 5.2308mm
    USBA_N, Signal Layers Only, 5.7827mm
    USBA_P, Signal Layers Only, 5.1619mm
    USBB_N, Signal Layers Only, 5.2011mm
    USBB_P, Signal Layers Only, 4.4844mm
    USB_DEBUG_N, Signal Layers Only, 0mm
    USB_DEBUG_P, Signal Layers Only, 0mm
    USB_EXP_N, Signal Layers Only, 0mm
    USB_EXP_P, Signal Layers Only, 0mm
    USB_HOST_ONLY_N, Signal Layers Only, 4.8319mm
    USB_HOST_ONLY_P, Signal Layers Only, 0mm
    VBUS, Signal Layers Only, 0mm
    VBUS/EN, Signal Layers Only, 0mm
    VDDANA, Signal Layers Only, 0mm
    VDDCORE, Signal Layers Only, 0mm
    VDDCPU, Signal Layers Only, 0mm
    VDDIODDR, Signal Layers Only, 0mm
    VDD_1V15_OUT3, Signal Layers Only, 0mm
    VDD_1V15_OUT4, Signal Layers Only, 0mm
    VDD_1V35, Signal Layers Only, 0mm
    VDD_3V3, Signal Layers Only, 0mm
    VDD_3V3_MPU, Signal Layers Only, 0mm
    VLDO1, Signal Layers Only, 0mm
